[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-03-04 20:02:50.244739' AND "django_session"."session_key" = 'hfaogin30xu2u9atg0fpxbnwegr8bqqx') LIMIT 21; args=('2020-03-04 20:02:50.244739', 'hfaogin30xu2u9atg0fpxbnwegr8bqqx')
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.000) SELECT (1) AS "a" FROM "auth_group" INNER JOIN "auth_user_groups" ON ("auth_group"."id" = "auth_user_groups"."group_id") WHERE ("auth_user_groups"."user_id" = 12 AND "auth_group"."name" = 'ADMIN') LIMIT 1; args=(12, 'ADMIN')
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.000) SELECT (1) AS "a" FROM "auth_group" INNER JOIN "auth_user_groups" ON ("auth_group"."id" = "auth_user_groups"."group_id") WHERE ("auth_user_groups"."user_id" = 12 AND "auth_group"."name" = 'research_user') LIMIT 1; args=(12, 'research_user')
[04/Mar/2020 20:02:50] INFO [django.server:157] "GET /viewData/ HTTP/1.1" 200 9040
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-03-04 20:02:50.950014' AND "django_session"."session_key" = 'hfaogin30xu2u9atg0fpxbnwegr8bqqx') LIMIT 21; args=('2020-03-04 20:02:50.950014', 'hfaogin30xu2u9atg0fpxbnwegr8bqqx')
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.001) SELECT (1) AS "a" FROM "auth_group" INNER JOIN "auth_user_groups" ON ("auth_group"."id" = "auth_user_groups"."group_id") WHERE ("auth_user_groups"."user_id" = 12 AND "auth_group"."name" = 'ADMIN') LIMIT 1; args=(12, 'ADMIN')
[04/Mar/2020 20:02:50] DEBUG [django.db.backends:130] (0.000) SELECT (1) AS "a" FROM "auth_group" INNER JOIN "auth_user_groups" ON ("auth_group"."id" = "auth_user_groups"."group_id") WHERE ("auth_user_groups"."user_id" = 12 AND "auth_group"."name" = 'research_user') LIMIT 1; args=(12, 'research_user')
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.029) SELECT "alr_audiotrim"."id", "alr_audiotrim"."big_audio_id_id", "alr_audiotrim"."original_text", "alr_audiotrim"."english_text", "alr_audiotrim"."phonetic_text", "alr_audiotrim"."last_listened_date", "alr_audiotrim"."score", "alr_audiotrim"."word_count", "alr_audiotrim"."length", "alr_audiotrim"."start_time" FROM "alr_audiotrim"; args=()
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.001) SELECT "alr_bigaudio"."id", "alr_bigaudio"."upload_date", "alr_bigaudio"."sound_file", "alr_bigaudio"."length", "alr_bigaudio"."owner_id_id", "alr_bigaudio"."speaker_id_id", "alr_bigaudio"."language_id_id", "alr_bigaudio"."private" FROM "alr_bigaudio" WHERE "alr_bigaudio"."id" = 1 LIMIT 21; args=(1,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.001) SELECT "alr_user"."id_id", "alr_user"."type", "alr_user"."last_login_date", "alr_user"."num_audio_files" FROM "alr_user" WHERE "alr_user"."id_id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "alr_speaker"."id", "alr_speaker"."first_name", "alr_speaker"."last_name", "alr_speaker"."user_id_id" FROM "alr_speaker" WHERE "alr_speaker"."id" = 1 LIMIT 21; args=(1,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.002) SELECT "alr_bigaudio"."id", "alr_bigaudio"."upload_date", "alr_bigaudio"."sound_file", "alr_bigaudio"."length", "alr_bigaudio"."owner_id_id", "alr_bigaudio"."speaker_id_id", "alr_bigaudio"."language_id_id", "alr_bigaudio"."private" FROM "alr_bigaudio" WHERE "alr_bigaudio"."id" = 2 LIMIT 21; args=(2,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "alr_user"."id_id", "alr_user"."type", "alr_user"."last_login_date", "alr_user"."num_audio_files" FROM "alr_user" WHERE "alr_user"."id_id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "alr_speaker"."id", "alr_speaker"."first_name", "alr_speaker"."last_name", "alr_speaker"."user_id_id" FROM "alr_speaker" WHERE "alr_speaker"."id" = 1 LIMIT 21; args=(1,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.001) SELECT "alr_bigaudio"."id", "alr_bigaudio"."upload_date", "alr_bigaudio"."sound_file", "alr_bigaudio"."length", "alr_bigaudio"."owner_id_id", "alr_bigaudio"."speaker_id_id", "alr_bigaudio"."language_id_id", "alr_bigaudio"."private" FROM "alr_bigaudio" WHERE "alr_bigaudio"."id" = 3 LIMIT 21; args=(3,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.001) SELECT "alr_user"."id_id", "alr_user"."type", "alr_user"."last_login_date", "alr_user"."num_audio_files" FROM "alr_user" WHERE "alr_user"."id_id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 12 LIMIT 21; args=(12,)
[04/Mar/2020 20:02:51] DEBUG [django.db.backends:130] (0.000) SELECT "alr_speaker"."id", "alr_speaker"."first_name", "alr_speaker"."last_name", "alr_speaker"."user_id_id" FROM "alr_speaker" WHERE "alr_speaker"."id" = 1 LIMIT 21; args=(1,)
[04/Mar/2020 20:02:51] INFO [django.server:157] "GET /ajax/getAllAudioTrim/ HTTP/1.1" 200 453
